map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
30037,rockies,small city,very high elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,low cardiovascular disease rate,high poverty rate,very low african american population,high hispanic population,0.050939,0.261222541,very low covid risk index,very low social vulnerability rank
30013,rockies,small city,moderate elderly percentage,low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,medium african american population,medium hispanic population,0.051258,0.289663589,very low covid risk index,very low social vulnerability rank
19191,midwest,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.051576,0.18407089,very low covid risk index,very low social vulnerability rank
31185,midwest,rural,high elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.051894,0.271887934,very low covid risk index,very low social vulnerability rank
30031,rockies,rural,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.052213,0.253687785,very low covid risk index,very low social vulnerability rank
46029,midwest,rural,low elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.052531,0.257083731,very low covid risk index,very low social vulnerability rank
55061,midwest,small city,high elderly percentage,moderate access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.052849,0.264777672,very low covid risk index,very low social vulnerability rank
38017,midwest,small city,very low elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,high african american population,low hispanic population,0.053168,0.239414199,very low covid risk index,very low social vulnerability rank
8005,rockies,suburban,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.053486,0.221320174,very low covid risk index,very low social vulnerability rank
34025,northeast,suburban,low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,high cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.053805,0.224663059,very low covid risk index,very low social vulnerability rank
20113,midwest,rural,high elderly percentage,low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.054123,0.241059111,very low covid risk index,very low social vulnerability rank
56025,rockies,small city,very low elderly percentage,low access to doctors,high uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.054441,0.220524249,very low covid risk index,very low social vulnerability rank
18173,midwest,small city,low elderly percentage,very low access to doctors,low uninsured rate,high diabetes rate,very high cardiovascular disease rate,very low poverty rate,medium african american population,very low hispanic population,0.05476,0.222116099,very low covid risk index,very low social vulnerability rank
55117,midwest,small city,low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.055078,0.219356893,very low covid risk index,very low social vulnerability rank
31167,midwest,rural,low elderly percentage,null,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.055396,0.242014221,very low covid risk index,very low social vulnerability rank
31017,midwest,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.055715,0.303141251,very low covid risk index,very low social vulnerability rank
31007,midwest,rural,high elderly percentage,null,moderate uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.056033,0.266794015,very low covid risk index,very low social vulnerability rank
25007,northeast,rural,very high elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.056351,0.233471294,very low covid risk index,very low social vulnerability rank
19073,midwest,rural,high elderly percentage,moderate access to doctors,very low uninsured rate,very high diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.05667,0.281014539,very low covid risk index,very low social vulnerability rank
31081,midwest,small city,moderate elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,medium hispanic population,0.056988,0.219993633,very low covid risk index,very low social vulnerability rank
56031,rockies,rural,very high elderly percentage,high access to doctors,high uninsured rate,high diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.057307,0.285790088,very low covid risk index,very low social vulnerability rank
56037,rockies,rural,very low elderly percentage,high access to doctors,high uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.057625,0.278945134,very low covid risk index,very low social vulnerability rank
51107,southeast,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.057943,0.278361456,very low covid risk index,very low social vulnerability rank
23031,northeast,small city,high elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.058262,0.204711875,very low covid risk index,very low social vulnerability rank
20051,midwest,rural,very low elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,low poverty rate,medium african american population,medium hispanic population,0.05858,0.285153348,very low covid risk index,very low social vulnerability rank
31059,midwest,rural,very high elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,medium hispanic population,0.058898,0.249761223,very low covid risk index,very low social vulnerability rank
38093,midwest,rural,moderate elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.059217,0.256977608,very low covid risk index,very low social vulnerability rank
27035,midwest,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.059535,0.225246737,very low covid risk index,very low social vulnerability rank
38019,midwest,rural,very high elderly percentage,very high access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.059854,0.21479359,very low covid risk index,very low social vulnerability rank
31003,midwest,rural,very high elderly percentage,moderate access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.060172,0.259312321,very low covid risk index,very low social vulnerability rank
55039,midwest,small city,moderate elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.06049,0.248169373,very low covid risk index,very low social vulnerability rank
38097,midwest,rural,moderate elderly percentage,very high access to doctors,very low uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,medium hispanic population,0.060809,0.218826276,very low covid risk index,very low social vulnerability rank
38041,midwest,rural,very high elderly percentage,null,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,medium hispanic population,0.061127,0.226732463,very low covid risk index,very low social vulnerability rank
34019,northeast,suburban,moderate elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.061445,0.254642895,very low covid risk index,very low social vulnerability rank
31067,midwest,rural,high elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.061764,0.209275178,very low covid risk index,very low social vulnerability rank
50025,northeast,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.062082,0.274063462,very low covid risk index,very low social vulnerability rank
56033,rockies,rural,high elderly percentage,low access to doctors,high uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.062401,0.243499947,very low covid risk index,very low social vulnerability rank
27141,midwest,suburban,very low elderly percentage,high access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.062719,0.214422159,very low covid risk index,very low social vulnerability rank
2090,noncontiguous,small city,very low elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.063037,0.27751247,very low covid risk index,very low social vulnerability rank
38103,midwest,rural,very high elderly percentage,very high access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.063356,0.19749549,very low covid risk index,very low social vulnerability rank
30027,rockies,rural,very high elderly percentage,low access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.063674,0.282447204,very low covid risk index,very low social vulnerability rank
31011,midwest,rural,very high elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,low hispanic population,0.063992,0.259471506,very low covid risk index,very low social vulnerability rank
38045,midwest,rural,very high elderly percentage,very high access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.064311,0.231454951,very low covid risk index,very low social vulnerability rank
30023,rockies,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,high diabetes rate,very low cardiovascular disease rate,high poverty rate,low african american population,medium hispanic population,0.064629,0.302026956,very low covid risk index,very low social vulnerability rank
24025,southeast,suburban,low elderly percentage,low access to doctors,very low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.064947,0.225140613,very low covid risk index,very low social vulnerability rank
30093,rockies,rural,moderate elderly percentage,low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,low african american population,medium hispanic population,0.065266,0.330945559,very low covid risk index,very low social vulnerability rank
31075,midwest,rural,very high elderly percentage,null,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.065584,0.230340656,very low covid risk index,very low social vulnerability rank
27053,midwest,urban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,low poverty rate,high african american population,high hispanic population,0.065903,0.240846864,very low covid risk index,very low social vulnerability rank
2230,noncontiguous,rural,very low elderly percentage,null,high uninsured rate,very low diabetes rate,null,very low poverty rate,low african american population,medium hispanic population,0.066221,0.329459832,very low covid risk index,very low social vulnerability rank
51610,southeast,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.066539,0.323994482,very low covid risk index,very low social vulnerability rank
19017,midwest,small city,high elderly percentage,moderate access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.066858,0.189270933,very low covid risk index,very low social vulnerability rank
6061,pacific,suburban,moderate elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,very high hispanic population,0.067176,0.243234639,very low covid risk index,very low social vulnerability rank
51678,southeast,rural,low elderly percentage,null,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very high poverty rate,high african american population,medium hispanic population,0.067494,0.363896848,very low covid risk index,low social vulnerability rank
19157,midwest,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,medium hispanic population,0.067813,0.246206092,very low covid risk index,very low social vulnerability rank
38009,midwest,rural,very high elderly percentage,high access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.068131,0.213573172,very low covid risk index,very low social vulnerability rank
16025,rockies,rural,very high elderly percentage,null,very high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.06845,0.315080123,very low covid risk index,very low social vulnerability rank
31099,midwest,rural,moderate elderly percentage,moderate access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.068768,0.235699884,very low covid risk index,very low social vulnerability rank
31117,midwest,rural,very high elderly percentage,null,low uninsured rate,very high diabetes rate,moderate cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.069086,0.201899607,very low covid risk index,very low social vulnerability rank
23005,northeast,small city,moderate elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.069405,0.239255014,very low covid risk index,very low social vulnerability rank
55083,midwest,small city,high elderly percentage,high access to doctors,very low uninsured rate,very high diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.069723,0.205030245,very low covid risk index,very low social vulnerability rank
49057,rockies,small city,very low elderly percentage,moderate access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,very high hispanic population,0.070041,0.246524462,very low covid risk index,very low social vulnerability rank
19169,midwest,small city,very low elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,high poverty rate,medium african american population,medium hispanic population,0.07036,0.28552478,very low covid risk index,very low social vulnerability rank
30017,rockies,rural,moderate elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.070678,0.25894089,very low covid risk index,very low social vulnerability rank
49005,rockies,small city,very low elderly percentage,moderate access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,low african american population,high hispanic population,0.070996,0.248328558,very low covid risk index,very low social vulnerability rank
46049,midwest,rural,very high elderly percentage,moderate access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,high poverty rate,very low african american population,very low hispanic population,0.071315,0.245463228,very low covid risk index,very low social vulnerability rank
38021,midwest,rural,high elderly percentage,very low access to doctors,moderate uninsured rate,moderate diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.071633,0.259736814,very low covid risk index,very low social vulnerability rank
16023,rockies,small city,very high elderly percentage,high access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,low hispanic population,0.071952,0.353496763,very low covid risk index,low social vulnerability rank
38039,midwest,rural,very high elderly percentage,moderate access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,very low hispanic population,0.07227,0.288602356,very low covid risk index,very low social vulnerability rank
33011,northeast,small city,very low elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.072588,0.230128409,very low covid risk index,very low social vulnerability rank
51540,southeast,small city,very low elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,very high poverty rate,null,medium hispanic population,0.072907,0.330945559,very low covid risk index,very low social vulnerability rank
31125,midwest,rural,high elderly percentage,null,low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.073225,0.282500266,very low covid risk index,very low social vulnerability rank
55017,midwest,small city,low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,low poverty rate,medium african american population,very low hispanic population,0.073543,0.279051258,very low covid risk index,very low social vulnerability rank
30105,rockies,rural,very high elderly percentage,low access to doctors,high uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,low hispanic population,0.073862,0.253051045,very low covid risk index,very low social vulnerability rank
46073,midwest,rural,very high elderly percentage,very low access to doctors,high uninsured rate,very high diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,very low hispanic population,0.07418,0.284092115,very low covid risk index,very low social vulnerability rank
18057,midwest,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.074499,0.276610421,very low covid risk index,very low social vulnerability rank
27145,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,high african american population,medium hispanic population,0.074817,0.297516715,very low covid risk index,very low social vulnerability rank
55009,midwest,small city,very low elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.075135,0.233630479,very low covid risk index,very low social vulnerability rank
38101,midwest,rural,very low elderly percentage,low access to doctors,low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,low poverty rate,high african american population,high hispanic population,0.075454,0.297994269,very low covid risk index,very low social vulnerability rank
27169,midwest,rural,low elderly percentage,high access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,medium african american population,low hispanic population,0.075772,0.32394142,very low covid risk index,very low social vulnerability rank
51199,southeast,suburban,low elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.07609,0.26313276,very low covid risk index,very low social vulnerability rank
16057,rockies,rural,very low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.076409,0.32171283,very low covid risk index,very low social vulnerability rank
19003,midwest,rural,very high elderly percentage,very high access to doctors,very low uninsured rate,high diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,very low hispanic population,0.076727,0.224556935,very low covid risk index,very low social vulnerability rank
16029,rockies,rural,low elderly percentage,moderate access to doctors,low uninsured rate,high diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.077046,0.340496657,very low covid risk index,very low social vulnerability rank
27025,midwest,suburban,very low elderly percentage,moderate access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.077364,0.229650854,very low covid risk index,very low social vulnerability rank
51041,southeast,suburban,very low elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,null,high hispanic population,0.077682,0.249814284,very low covid risk index,very low social vulnerability rank
27085,midwest,rural,moderate elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.078001,0.274912448,very low covid risk index,very low social vulnerability rank
51735,southeast,suburban,moderate elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.078319,0.235328452,very low covid risk index,very low social vulnerability rank
31121,midwest,small city,high elderly percentage,very high access to doctors,moderate uninsured rate,high diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.078637,0.287169691,very low covid risk index,very low social vulnerability rank
55097,midwest,rural,low elderly percentage,moderate access to doctors,very low uninsured rate,very low diabetes rate,high cardiovascular disease rate,low poverty rate,low african american population,low hispanic population,0.078956,0.265149103,very low covid risk index,very low social vulnerability rank
18037,midwest,rural,low elderly percentage,very low access to doctors,low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,very low african american population,high hispanic population,0.079274,0.23432028,very low covid risk index,very low social vulnerability rank
8015,rockies,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,medium african american population,high hispanic population,0.079592,0.288973788,very low covid risk index,very low social vulnerability rank
16019,rockies,small city,very low elderly percentage,high access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,high hispanic population,0.079911,0.301443277,very low covid risk index,very low social vulnerability rank
38067,midwest,rural,very high elderly percentage,very high access to doctors,moderate uninsured rate,high diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,medium hispanic population,0.080229,0.222434469,very low covid risk index,very low social vulnerability rank
27157,midwest,small city,high elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.080548,0.224185504,very low covid risk index,very low social vulnerability rank
2110,noncontiguous,rural,very low elderly percentage,very low access to doctors,high uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.080866,0.347235488,very low covid risk index,very low social vulnerability rank
41017,pacific,small city,moderate elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.081184,0.280483922,very low covid risk index,very low social vulnerability rank
34003,northeast,suburban,low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.081503,0.25798578,very low covid risk index,very low social vulnerability rank
39159,midwest,suburban,very low elderly percentage,moderate access to doctors,very low uninsured rate,low diabetes rate,very high cardiovascular disease rate,very low poverty rate,medium african american population,very low hispanic population,0.081821,0.21638544,very low covid risk index,very low social vulnerability rank
50017,northeast,rural,high elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.082139,0.26281439,very low covid risk index,very low social vulnerability rank
38073,midwest,rural,high elderly percentage,low access to doctors,low uninsured rate,high diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.082458,0.241695851,very low covid risk index,very low social vulnerability rank
38089,midwest,rural,very low elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.082776,0.309773957,very low covid risk index,very low social vulnerability rank
6041,pacific,suburban,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,very high hispanic population,0.083095,0.259524568,very low covid risk index,very low social vulnerability rank
55033,midwest,rural,low elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.083413,0.306749443,very low covid risk index,very low social vulnerability rank
34035,northeast,suburban,very low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.083731,0.271304256,very low covid risk index,very low social vulnerability rank
55029,midwest,rural,very high elderly percentage,very low access to doctors,low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.08405,0.245144859,very low covid risk index,very low social vulnerability rank
26111,midwest,small city,moderate elderly percentage,very low access to doctors,very low uninsured rate,moderate diabetes rate,high cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.084368,0.233312109,very low covid risk index,very low social vulnerability rank
23011,northeast,rural,moderate elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,moderate cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.084686,0.287381938,very low covid risk index,very low social vulnerability rank
31027,midwest,rural,high elderly percentage,very high access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.085005,0.238299905,very low covid risk index,very low social vulnerability rank
30091,rockies,rural,very high elderly percentage,low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,low hispanic population,0.085323,0.305900456,very low covid risk index,very low social vulnerability rank
13117,southeast,suburban,very low elderly percentage,high access to doctors,moderate uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,high hispanic population,0.085642,0.289292158,very low covid risk index,very low social vulnerability rank
16085,rockies,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.08596,0.27241855,very low covid risk index,very low social vulnerability rank
8031,rockies,urban,very low elderly percentage,very low access to doctors,moderate uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,high african american population,very high hispanic population,0.086278,0.286639075,very low covid risk index,very low social vulnerability rank
27133,midwest,rural,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.086597,0.263185822,very low covid risk index,very low social vulnerability rank
26103,midwest,rural,moderate elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,moderate poverty rate,medium african american population,very low hispanic population,0.086915,0.272153242,very low covid risk index,very low social vulnerability rank
31127,midwest,rural,high elderly percentage,low access to doctors,low uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.087233,0.296667728,very low covid risk index,very low social vulnerability rank
55021,midwest,small city,low elderly percentage,moderate access to doctors,very low uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.087552,0.262920514,very low covid risk index,very low social vulnerability rank
44009,northeast,suburban,high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,low hispanic population,0.08787,0.257826595,very low covid risk index,very low social vulnerability rank
46103,midwest,small city,low elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,moderate poverty rate,low african american population,medium hispanic population,0.088188,0.307173936,very low covid risk index,very low social vulnerability rank
55099,midwest,rural,very high elderly percentage,very high access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.088507,0.240952987,very low covid risk index,very low social vulnerability rank
29147,midwest,rural,very low elderly percentage,moderate access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,very high poverty rate,medium african american population,very low hispanic population,0.088825,0.327072058,very low covid risk index,very low social vulnerability rank
27041,midwest,rural,very high elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,very low african american population,very low hispanic population,0.089144,0.238246843,very low covid risk index,very low social vulnerability rank
46135,midwest,rural,moderate elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,medium african american population,medium hispanic population,0.089462,0.330786374,very low covid risk index,very low social vulnerability rank
16005,rockies,small city,very low elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,moderate poverty rate,low african american population,high hispanic population,0.08978,0.325957763,very low covid risk index,very low social vulnerability rank
42037,northeast,small city,moderate elderly percentage,moderate access to doctors,very low uninsured rate,high diabetes rate,high cardiovascular disease rate,low poverty rate,medium african american population,low hispanic population,0.090099,0.252308182,very low covid risk index,very low social vulnerability rank
40119,southwest,rural,very low elderly percentage,moderate access to doctors,very high uninsured rate,moderate diabetes rate,low cardiovascular disease rate,very high poverty rate,high african american population,medium hispanic population,0.090417,0.329778202,very low covid risk index,very low social vulnerability rank
23019,northeast,small city,moderate elderly percentage,very low access to doctors,moderate uninsured rate,moderate diabetes rate,high cardiovascular disease rate,moderate poverty rate,low african american population,very low hispanic population,0.090735,0.274434893,very low covid risk index,very low social vulnerability rank
56017,rockies,rural,very high elderly percentage,low access to doctors,high uninsured rate,moderate diabetes rate,very low cardiovascular disease rate,moderate poverty rate,very low african american population,low hispanic population,0.091054,0.314974,very low covid risk index,very low social vulnerability rank
41005,pacific,suburban,low elderly percentage,very low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,high hispanic population,0.091372,0.275071634,very low covid risk index,very low social vulnerability rank
55075,midwest,rural,very high elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,high cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.091691,0.301973894,very low covid risk index,very low social vulnerability rank
